Datetime,Attendence,Place in Quarter,W1,W2,W3,W4,W5,W6,W7,W8
2015-07-17 11:00:00,15,4,0,86.00,69.85,9.1,0.00,SCT,SCT,SCT
2016-04-04 07:30:00,71,3,0.0821917808219178,33.98,69.28,14.8,0.00,OVC,M,M
2015-12-05 08:30:00,27,1,0.9259259259259259,30.02,100.00,5.7,0.00,OVC,M,M
2015-10-16 15:00:00,115,1,0.30864197530864196,53.96,33.76,14.8,0.00,SCT,SCT,M
2015-05-08 19:30:00,34,3,0.527027027027027,66.02,93.33,0.0,0.03,OVC,M,M
2015-12-26 10:00:00,5,0,0,41.00,82.09,9.1,0.00,OVC,M,M
2016-02-22 16:00:00,94,2,0.6621621621621622,39.92,57.33,9.1,0.00,OVC,M,M
2015-07-02 11:30:00,31,4,0,66.02,65.07,14.8,0.00,SCT,SCT,M
2015-12-30 13:00:00,2,0,0,28.04,74.61,13.7,0.00,OVC,M,M
2016-01-28 06:30:00,49,2,0.32432432432432434,32.00,81.42,17.1,0.00,FEW,SCT,M
2015-08-17 08:00:00,49,0,0,78.98,71.72,6.8,0.00,FEW,FEW,M
2015-11-03 17:30:00,202,1,0.5308641975308642,60.08,83.41,4.6,0.00,FEW,M,M
2015-04-19 20:00:00,45,3,0.2702702702702703,50.00,96.05,12.5,0.01,OVC,M,M
2015-07-10 14:00:00,24,4,0,80.06,39.22,0.0,0.00,SCT,SCT,BKN
2015-08-15 09:30:00,34,0,0,78.98,66.58,6.8,0.00,FEW,FEW,SCT
2016-02-04 07:00:00,41,2,0.4189189189189189,19.94,77.35,10.3,0.00,FEW,FEW,M
2016-01-15 18:30:00,54,2,0.14864864864864866,32.00,88.32,19.4,0.00,OVC,M,M
2015-12-29 10:30:00,7,0,0,32.00,85.12,12.5,0.00,OVC,M,M
2015-10-01 17:30:00,111,1,0.12345679012345678,57.02,57.29,20.5,0.00,SCT,M,M
2016-04-16 21:00:00,3,3,0.2465753424657534,57.02,50.88,5.7,0.00,CLR,M,M
2015-05-03 08:30:00,17,3,0.4594594594594595,66.92,41.81,11.4,0.00,SCT,BKN,M
2015-04-21 08:30:00,39,3,0.2972972972972973,42.98,57.35,20.5,0.00,SCT,BKN,M
2016-04-14 11:00:00,73,3,0.2191780821917808,55.94,34.09,8.0,0.00,FEW,M,M
2016-04-13 09:30:00,48,3,0.2054794520547945,48.02,47.36,6.8,0.00,BKN,M,M
2015-04-18 20:30:00,41,3,0.25675675675675674,46.94,58.33,11.4,0.00,FEW,BKN,M
2015-06-21 17:00:00,62,0,0,82.04,54.50,9.1,0.00,FEW,BKN,BKN
2015-04-10 07:00:00,29,3,0.14864864864864866,41.00,79.21,18.2,0.00,OVC,M,M
2015-10-06 18:00:00,113,1,0.18518518518518517,60.98,77.66,10.3,0.00,FEW,FEW,M
2016-02-24 08:00:00,40,2,0.6891891891891891,35.06,66.36,26.2,0.00,FEW,BKN,OVC
2016-04-03 09:30:00,35,3,0.0684931506849315,35.96,51.78,20.5,0.00,BKN,M,M
2015-11-02 13:00:00,65,1,0.5185185185185185,71.96,31.26,17.1,0.00,SCT,M,M
2015-08-04 06:30:00,27,4,0,62.96,80.93,4.6,0.00,FEW,FEW,M
2015-06-16 11:30:00,31,0,0,69.08,52.67,11.4,0.00,SCT,M,M
2015-11-10 23:00:00,1,1,0.6172839506172839,42.08,64.35,5.7,0.00,FEW,M,M
2015-09-29 21:30:00,104,1,0.09876543209876543,55.04,71.60,14.8,0.00,FEW,BKN,M
2015-12-11 09:30:00,30,0,0,44.96,65.18,6.8,0.00,FEW,FEW,SCT
2016-04-03 07:30:00,2,3,0.0684931506849315,30.92,58.21,9.1,0.00,BKN,M,M
2015-11-06 10:00:00,55,1,0.5679012345679012,50.00,71.07,17.1,0.00,BKN,OVC,M
2015-07-23 14:30:00,20,4,0,80.96,47.23,6.8,0.00,BKN,M,M
2016-02-16 07:00:00,74,2,0.581081081081081,24.98,80.87,0.0,0.00,OVC,M,M
2015-10-20 22:30:00,24,1,0.35802469135802467,57.92,86.63,5.7,0.15,OVC,M,M
2016-04-26 15:00:00,74,3,0.3835616438356164,44.06,78.91,18.2,0.00,OVC,M,M
2016-02-23 15:30:00,54,2,0.6756756756756757,42.08,44.34,11.4,0.00,SCT,M,M
2015-09-14 09:00:00,38,0,0,66.02,58.53,14.8,0.00,FEW,M,M
2015-04-04 20:00:00,47,3,0.06756756756756757,48.92,35.80,3.4,0.00,CLR,M,M
2015-09-28 15:30:00,95,1,0.08641975308641975,75.92,68.78,5.7,0.00,BKN,OVC,M
2016-02-12 14:30:00,89,2,0.527027027027027,21.92,43.38,25.1,0.00,BKN,M,M
2016-01-16 14:00:00,70,2,0.16216216216216217,26.96,62.83,10.3,0.00,FEW,M,M
2015-12-04 17:00:00,112,1,0.9135802469135802,37.94,89.25,5.7,0.00,CLR,M,M
2015-04-28 10:00:00,60,3,0.3918918918918919,53.96,50.42,4.6,0.00,CLR,M,M
2016-03-30 13:00:00,70,3,0.0136986301369863,59.00,51.18,23.9,0.00,SCT,BKN,OVC
2015-10-18 12:30:00,53,1,0.3333333333333333,57.02,30.21,10.3,0.00,FEW,M,M
2015-06-26 09:00:00,15,4,0,64.04,89.78,8.0,0.00,BKN,OVC,M
2016-01-07 13:00:00,53,2,0.04054054054054054,39.02,61.63,5.7,0.00,OVC,M,M
2015-04-03 07:30:00,34,3,0.05405405405405406,48.92,44.14,9.1,0.00,OVC,M,M
2015-06-06 12:00:00,47,3,0.918918918918919,69.08,54.45,10.3,0.00,FEW,SCT,M
2016-02-06 10:30:00,73,2,0.44594594594594594,35.06,66.36,13.7,0.00,SCT,BKN,M
2015-10-07 09:30:00,38,1,0.19753086419753085,66.02,65.07,6.8,0.00,FEW,SCT,M
2015-06-02 19:00:00,54,3,0.8648648648648649,62.06,55.68,9.1,0.00,BKN,M,M
2015-11-19 17:00:00,136,1,0.7283950617283951,37.94,46.09,18.2,0.00,FEW,M,M
2015-11-17 16:00:00,83,1,0.7037037037037037,57.92,90.11,17.1,0.01,OVC,M,M
2016-04-08 20:00:00,85,3,0.136986301369863,32.00,63.51,20.5,0.00,SCT,SCT,M
2015-05-20 10:30:00,66,3,0.6891891891891891,46.94,43.81,11.4,0.00,OVC,M,M
2015-07-11 08:30:00,10,4,0,73.04,63.83,4.6,0.00,SCT,OVC,M
2015-09-28 18:00:00,153,1,0.08641975308641975,73.94,73.49,3.4,0.00,OVC,M,M
2015-12-14 10:30:00,20,0,0,50.00,86.19,14.8,0.00,FEW,BKN,OVC
2015-04-11 16:30:00,92,3,0.16216216216216217,60.98,29.52,8.0,0.00,CLR,M,M
2015-08-08 14:00:00,28,4,0,78.08,62.05,10.3,0.00,FEW,SCT,BKN
2016-04-17 16:00:00,64,3,0.2602739726027397,77.00,23.59,11.4,0.00,FEW,FEW,M
2016-02-15 12:30:00,51,2,0.5675675675675675,26.06,88.01,5.7,0.00,OVC,M,M
2015-04-08 20:30:00,131,3,0.12162162162162163,39.92,92.56,12.5,0.00,OVC,M,M
2016-03-08 09:00:00,39,2,0.8648648648648649,62.06,64.59,18.2,0.00,FEW,SCT,BKN
2016-04-03 19:30:00,50,3,0.0684931506849315,69.98,32.29,26.2,0.00,SCT,BKN,BKN
2015-04-13 21:00:00,133,3,0.1891891891891892,55.94,32.61,8.0,0.00,FEW,M,M
2015-06-10 15:30:00,41,3,0.972972972972973,82.04,52.47,20.5,0.00,SCT,BKN,BKN
2015-10-21 18:00:00,90,1,0.37037037037037035,71.06,58.82,11.4,0.00,FEW,BKN,M
2015-05-23 08:00:00,19,3,0.7297297297297297,64.04,35.15,11.4,0.00,SCT,M,M
2015-07-20 08:00:00,17,4,0,77.00,59.98,10.3,0.00,SCT,BKN,M
2015-10-13 08:00:00,51,1,0.2716049382716049,51.98,66.04,17.1,0.00,BKN,M,M
2016-02-12 19:00:00,56,2,0.527027027027027,12.92,41.80,18.2,0.00,FEW,M,M
2016-02-16 06:30:00,58,2,0.581081081081081,24.98,77.82,5.7,0.00,SCT,OVC,M
2015-12-07 13:00:00,43,1,0.9506172839506173,35.96,96.49,9.1,0.00,OVC,M,M
2015-06-24 18:30:00,88,4,0,73.94,61.92,9.1,0.00,SCT,BKN,OVC
2015-11-27 17:30:00,7,1,0.8271604938271605,35.96,78.79,13.7,0.00,OVC,M,M
2016-02-21 12:00:00,60,2,0.6486486486486487,39.02,72.46,11.4,0.00,BKN,OVC,M
2016-04-10 20:00:00,65,3,0.1643835616438356,48.02,96.02,9.1,0.00,OVC,M,M
2015-05-19 07:00:00,115,3,0.6756756756756757,46.94,68.28,12.5,0.00,FEW,OVC,M
2015-09-21 12:30:00,85,1,0.0,69.98,43.75,3.4,0.00,CLR,M,M
2016-04-27 14:30:00,52,3,0.3972602739726027,46.94,73.79,5.7,0.00,BKN,BKN,OVC
2015-11-15 16:00:00,74,1,0.6790123456790124,57.92,38.94,9.1,0.00,FEW,M,M
2015-07-13 15:00:00,27,4,0,84.92,63.27,12.5,0.00,FEW,FEW,SCT
2015-07-30 06:30:00,28,4,0,66.92,75.69,8.0,0.00,CLR,M,M
2016-03-27 10:30:00,19,0,0,57.02,54.95,5.7,0.00,OVC,M,M
2015-04-03 19:00:00,80,3,0.05405405405405406,33.98,78.62,9.1,0.00,FEW,SCT,M
2016-04-19 11:00:00,100,3,0.2876712328767123,53.96,66.28,14.8,0.00,SCT,SCT,OVC
2016-01-08 08:00:00,49,2,0.05405405405405406,37.94,96.52,8.0,0.00,BKN,OVC,M
2015-04-11 13:00:00,68,3,0.16216216216216217,59.00,38.83,8.0,0.00,FEW,M,M
2015-08-27 09:30:00,16,0,0,64.94,62.83,M,0.00,SCT,M,M
2015-10-25 17:30:00,64,1,0.41975308641975306,53.06,54.38,4.6,0.00,FEW,M,M
2016-03-08 13:30:00,89,2,0.8648648648648649,69.08,54.45,18.2,0.00,OVC,M,M
2016-03-10 12:00:00,48,2,0.8918918918918919,50.00,60.89,6.8,0.00,FEW,OVC,M
2015-08-16 11:30:00,25,0,0,84.92,59.14,8.0,0.00,BKN,BKN,M
2015-06-13 10:00:00,30,0,0,75.92,73.68,8.0,0.00,SCT,SCT,BKN
2015-04-10 20:30:00,80,3,0.14864864864864866,44.96,70.52,11.4,0.00,FEW,M,M
2015-06-05 16:00:00,80,3,0.9054054054054054,62.96,67.34,19.4,0.00,SCT,M,M
2015-10-08 11:30:00,70,1,0.20987654320987653,73.04,55.01,12.5,0.00,SCT,M,M
2015-11-01 11:00:00,54,1,0.5061728395061729,60.08,45.60,14.8,0.00,FEW,M,M
2015-10-27 16:30:00,134,1,0.4444444444444444,55.94,61.67,18.2,0.02,OVC,M,M
2016-04-01 14:00:00,87,3,0.0410958904109589,48.02,58.07,9.1,0.00,FEW,BKN,OVC
2015-08-07 07:00:00,17,4,0,69.98,61.02,9.1,0.00,FEW,FEW,M
2016-01-25 20:30:00,119,2,0.28378378378378377,39.02,95.86,11.4,0.00,OVC,M,M
2015-05-27 08:30:00,116,3,0.7837837837837838,66.92,72.81,13.7,0.00,BKN,M,M
2016-01-13 23:00:00,1,2,0.12162162162162163,24.08,80.80,11.4,0.00,SCT,SCT,M
2016-01-05 07:30:00,58,2,0.013513513513513514,19.04,84.27,8.0,0.00,SCT,M,M
2015-04-29 10:00:00,49,3,0.40540540540540543,59.00,40.54,6.8,0.00,SCT,M,M
2016-03-03 16:00:00,73,2,0.7972972972972973,30.92,85.05,11.4,0.00,OVC,M,M
2015-12-07 18:30:00,98,1,0.9506172839506173,35.96,92.43,10.3,0.00,OVC,M,M
2016-01-21 13:00:00,53,2,0.22972972972972974,26.06,62.70,0.0,0.00,FEW,BKN,M
2015-04-25 09:00:00,48,3,0.35135135135135137,42.98,85.79,14.8,0.03,OVC,M,M
2015-07-13 11:30:00,31,4,0,77.00,76.57,11.4,0.00,FEW,SCT,BKN
2016-03-27 14:00:00,19,0,0,53.96,66.28,17.1,0.00,BKN,BKN,BKN
2016-03-29 07:00:00,60,3,0.0,37.94,89.25,3.4,0.00,FEW,M,M
2016-02-03 13:00:00,45,2,0.40540540540540543,35.06,81.65,19.4,0.00,OVC,M,M
2016-01-30 08:30:00,24,2,0.35135135135135137,35.96,85.37,8.0,0.00,BKN,OVC,M
2016-04-04 23:00:00,3,3,0.0821917808219178,30.02,63.24,5.7,0.00,BKN,M,M
2015-10-15 13:00:00,49,1,0.2962962962962963,64.04,42.82,8.0,0.00,FEW,BKN,M
2015-07-07 19:30:00,68,4,0,60.98,57.84,12.5,0.00,FEW,FEW,M
2015-06-27 15:00:00,42,4,0,73.94,39.85,13.7,0.00,FEW,FEW,SCT
2015-05-15 08:30:00,60,3,0.6216216216216216,64.94,84.26,6.8,0.00,OVC,M,M
2016-02-19 18:30:00,73,2,0.6216216216216216,48.92,60.74,25.1,0.00,FEW,M,M
2016-03-26 10:30:00,22,0,0,44.96,68.05,6.8,0.00,FEW,M,M
2015-10-24 13:00:00,59,1,0.4074074074074074,59.00,80.64,18.2,0.00,BKN,OVC,M
2015-06-15 15:30:00,53,0,0,80.06,71.39,3.4,0.00,SCT,BKN,OVC
2015-09-27 09:30:00,40,1,0.07407407407407407,64.94,90.39,9.1,0.00,BKN,BKN,OVC
2016-02-04 14:30:00,88,2,0.4189189189189189,30.92,49.01,6.8,0.00,FEW,FEW,SCT
2015-12-18 08:00:00,12,0,0,24.98,62.55,14.8,0.00,SCT,M,M
2015-12-28 12:00:00,14,0,0,32.00,92.29,26.2,0.00,OVC,M,M
2015-08-13 13:00:00,4,4,0,82.94,47.52,13.7,0.00,BKN,BKN,M
2016-04-16 11:30:00,63,3,0.2465753424657534,73.04,35.36,8.0,0.00,CLR,M,M
2016-01-15 11:30:00,86,2,0.14864864864864866,37.94,82.46,10.3,0.00,BKN,OVC,M
2015-08-06 08:30:00,11,4,0,73.04,73.41,10.3,0.00,FEW,SCT,M
2016-01-11 19:30:00,86,2,0.0945945945945946,21.92,91.94,9.1,0.00,BKN,OVC,M
2015-10-15 12:30:00,49,1,0.2962962962962963,60.98,47.70,5.7,0.01,OVC,M,M
2016-01-13 11:30:00,77,2,0.12162162162162163,10.94,72.79,12.5,0.00,BKN,OVC,M
2015-06-05 21:30:00,32,3,0.9054054054054054,57.02,77.32,17.1,0.00,FEW,FEW,M
2015-09-19 15:30:00,114,0,0,69.98,40.59,12.5,0.00,BKN,M,M
2016-04-05 08:00:00,65,3,0.0958904109589041,33.08,48.98,10.3,0.00,FEW,M,M
2016-03-29 09:30:00,65,3,0.0,46.94,58.33,8.0,0.00,FEW,M,M
2015-05-26 11:00:00,48,3,0.7702702702702703,71.96,78.57,16.0,0.00,OVC,M,M
2016-01-24 16:30:00,67,2,0.2702702702702703,30.02,74.81,0.0,0.00,FEW,FEW,OVC
2015-12-11 06:30:00,73,0,0,42.08,70.20,9.1,0.00,BKN,M,M
2015-10-10 09:00:00,50,1,0.2345679012345679,55.04,68.73,9.1,0.00,FEW,BKN,M
2016-03-16 16:00:00,57,2,0.972972972972973,55.04,38.19,26.2,0.00,SCT,BKN,BKN
2015-07-24 09:30:00,7,4,0,78.98,56.18,4.6,0.00,FEW,SCT,BKN
2016-02-24 22:00:00,64,2,0.6891891891891891,33.98,72.45,22.8,0.03,BKN,OVC,M
2015-08-31 06:00:00,24,0,0,62.06,100.00,0.0,0.00,FEW,SCT,M
2016-02-20 08:00:00,20,2,0.6351351351351351,50.00,45.97,19.4,0.00,FEW,M,M
2015-11-10 15:00:00,59,1,0.6172839506172839,53.06,42.58,6.8,0.00,FEW,SCT,M
2016-01-05 16:30:00,99,2,0.013513513513513514,30.92,68.92,9.1,0.00,FEW,BKN,M
2016-04-18 13:00:00,55,3,0.273972602739726,80.96,21.45,0.0,0.00,SCT,M,M
2016-04-26 23:00:00,3,3,0.3835616438356164,44.06,82.31,13.7,0.00,FEW,OVC,M
2016-03-30 17:00:00,207,3,0.0136986301369863,57.02,77.32,19.4,0.00,SCT,OVC,M
2016-04-22 08:00:00,44,3,0.3287671232876712,44.96,85.90,12.5,0.00,OVC,M,M
2015-05-13 10:30:00,60,3,0.5945945945945946,48.02,60.62,10.3,0.00,FEW,M,M
2016-03-16 20:00:00,37,2,0.972972972972973,48.02,56.01,16.0,0.00,FEW,FEW,BKN
2015-05-29 08:00:00,117,3,0.8108108108108109,75.02,70.88,6.8,0.00,FEW,FEW,BKN
2015-06-29 14:30:00,38,4,0,73.04,65.90,8.0,0.00,FEW,BKN,BKN
2015-09-14 17:00:00,85,0,0,80.06,40.54,20.5,0.00,FEW,M,M
2015-04-04 12:00:00,56,3,0.06756756756756757,51.08,31.57,21.7,0.00,CLR,M,M
2015-06-02 11:00:00,52,3,0.8648648648648649,68.00,43.44,10.3,0.00,FEW,FEW,M
2015-04-13 06:30:00,22,3,0.1891891891891892,53.96,89.95,5.7,0.11,FEW,BKN,OVC
2015-05-08 16:00:00,138,3,0.527027027027027,64.04,93.28,19.4,0.03,BKN,BKN,OVC
2016-03-18 16:00:00,51,0,0,41.00,70.08,10.3,0.00,BKN,BKN,OVC
2015-11-10 14:30:00,83,1,0.6172839506172839,55.04,38.19,8.0,0.00,FEW,FEW,SCT
2016-04-16 13:30:00,50,3,0.2465753424657534,75.92,32.10,12.5,0.00,FEW,M,M
2015-11-21 13:30:00,54,1,0.7530864197530864,28.94,92.19,23.9,0.28,VV ,M,M
2016-04-05 07:30:00,61,3,0.0958904109589041,30.92,58.21,9.1,0.00,FEW,M,M
2015-06-05 12:30:00,44,3,0.9054054054054054,62.06,74.75,17.1,0.00,OVC,M,M
2016-02-14 19:00:00,42,2,0.5540540540540541,17.06,80.22,12.5,0.00,FEW,SCT,OVC
2015-04-22 11:00:00,54,3,0.3108108108108108,39.02,49.93,17.1,0.00,OVC,M,M
2016-01-14 12:00:00,59,2,0.13513513513513514,41.00,64.68,11.4,0.00,SCT,BKN,M
2015-04-18 08:00:00,56,3,0.25675675675675674,57.02,52.70,20.5,0.00,FEW,SCT,M
2015-10-08 09:00:00,44,1,0.20987654320987653,64.94,70.28,6.8,0.00,FEW,BKN,M
2015-11-29 11:30:00,30,1,0.8518518518518519,39.92,69.96,6.8,0.00,FEW,FEW,BKN
2015-05-14 07:00:00,149,3,0.6081081081081081,51.98,66.04,12.5,0.00,SCT,OVC,M
2016-02-14 13:30:00,36,2,0.5540540540540541,17.06,83.47,13.7,0.02,VV ,M,M
2015-10-04 14:30:00,49,1,0.16049382716049382,55.94,80.40,14.8,0.00,OVC,M,M
2015-06-20 11:00:00,19,0,0,71.96,68.35,0.0,0.00,SCT,BKN,OVC
2016-04-22 12:30:00,66,3,0.3287671232876712,51.08,68.28,19.4,0.00,OVC,M,M
2015-09-11 06:30:00,7,0,0,60.08,92.56,18.2,0.05,BKN,OVC,M
2016-04-01 06:00:00,4,3,0.0410958904109589,41.00,79.21,0.0,0.00,SCT,BKN,BKN
2015-11-02 10:30:00,57,1,0.5185185185185185,66.92,46.98,18.2,0.00,SCT,M,M
2015-10-17 13:00:00,43,1,0.32098765432098764,50.00,32.86,13.7,0.00,SCT,M,M
2015-06-16 14:00:00,23,0,0,71.96,47.75,11.4,0.00,FEW,SCT,M
2015-10-05 10:00:00,59,1,0.1728395061728395,57.02,93.08,8.0,0.00,OVC,M,M
2015-12-05 14:00:00,46,1,0.9259259259259259,44.06,59.64,8.0,0.00,SCT,M,M
2015-06-28 17:00:00,35,4,0,75.02,53.52,8.0,0.00,SCT,OVC,M
2015-04-04 16:30:00,96,3,0.06756756756756757,57.92,22.61,16.0,0.00,FEW,M,M
2015-11-07 18:00:00,50,1,0.5802469135802469,42.08,57.22,8.0,0.00,CLR,M,M
2015-10-21 10:00:00,51,1,0.37037037037037035,64.04,67.46,13.7,0.00,FEW,BKN,M
2015-05-30 08:30:00,47,3,0.8243243243243243,66.92,90.46,3.4,0.01,SCT,BKN,OVC
2016-01-04 18:00:00,140,2,0.0,28.94,63.10,5.7,0.00,OVC,M,M
2016-04-13 10:30:00,69,3,0.2054794520547945,50.00,43.99,6.8,0.00,SCT,M,M
2016-04-28 22:30:00,23,3,0.410958904109589,42.08,95.92,10.3,0.01,OVC,M,M
2015-04-01 18:30:00,124,3,0.02702702702702703,68.00,31.97,21.7,0.00,BKN,M,M
2015-08-22 12:00:00,23,0,0,80.06,42.16,16.0,0.00,BKN,M,M
2016-02-21 20:00:00,76,2,0.6486486486486487,35.06,72.03,3.4,0.00,OVC,M,M
2015-10-31 07:30:00,2,1,0.49382716049382713,44.96,85.90,11.4,0.00,OVC,M,M
2015-08-16 08:00:00,11,0,0,78.98,76.74,5.7,0.00,FEW,FEW,M
2015-09-02 07:30:00,16,0,0,73.94,84.80,5.7,0.00,FEW,M,M
2016-04-19 19:00:00,91,3,0.2876712328767123,50.00,74.10,12.5,0.00,FEW,OVC,M
2015-04-30 22:30:00,26,3,0.4189189189189189,39.02,81.95,3.4,0.00,CLR,M,M
2015-07-18 10:30:00,43,4,0,78.08,79.05,16.0,0.00,BKN,OVC,M
2016-01-12 07:30:00,67,2,0.10810810810810811,5.00,69.09,21.7,0.00,FEW,M,M
2015-07-09 10:00:00,14,4,0,64.94,72.62,9.1,0.00,SCT,OVC,M
2015-09-30 22:00:00,49,1,0.1111111111111111,57.92,55.47,16.0,0.00,BKN,M,M
2015-06-17 16:30:00,59,0,0,71.06,75.57,8.0,0.00,BKN,OVC,M
2016-03-10 17:00:00,113,2,0.8918918918918919,44.96,76.25,8.0,0.00,OVC,M,M
2015-04-19 15:30:00,60,3,0.2702702702702703,59.00,47.39,10.3,0.00,FEW,BKN,OVC
2015-10-04 08:00:00,10,1,0.16049382716049382,51.98,86.30,9.1,0.00,OVC,M,M
2015-06-04 13:30:00,49,3,0.8918918918918919,77.00,59.98,12.5,0.00,SCT,BKN,M
2015-10-15 16:00:00,71,1,0.2962962962962963,66.92,20.36,26.2,0.00,SCT,M,M
2016-01-27 14:30:00,89,2,0.3108108108108108,33.08,55.89,17.1,0.00,FEW,FEW,M
2015-05-01 10:00:00,52,3,0.43243243243243246,59.00,47.39,4.6,0.00,FEW,M,M
2016-03-07 22:30:00,18,2,0.8513513513513513,60.08,57.33,12.5,0.00,OVC,M,M
2015-10-07 10:00:00,55,1,0.19753086419753085,69.08,56.66,4.6,0.00,FEW,FEW,M
